,biExclusiveLevel,brand_name,category,imageAltText,isAppExclusive,isBI,isBest,isFirstAccess,isLimitedEdition,isLimitedTimeOffer,isNatural,isNew,isOnlineOnly,isOrganic,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice
33,none,SEPHORA COLLECTION,/shop/foundation-makeup,SEPHORA COLLECTION - Perfection Mist Airbrush Foundation,False,False,False,False,False,False,False,False,False,False,True,$28.00,,1507367,Standard,
34,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Smooth Finish Foundation Powder,False,False,False,False,False,False,False,False,False,False,False,$48.00,,1530534,Standard,
35,none,tarte,/shop/foundation-makeup,tarte - Custom Foundation Value Set – Sea Collection,False,False,False,False,True,False,False,True,False,False,True,$39.00,,2261865,Standard,$71.00
36,none,SEPHORA COLLECTION,/shop/foundation-makeup,SEPHORA COLLECTION - 10 HR Wear Perfection Foundation,False,False,False,False,False,False,False,True,False,False,True,$20.00,,2222099,Standard,
37,none,Too Faced,/shop/foundation-makeup,Too Faced - Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,False,False,False,False,False,False,False,False,False,False,False,$36.00,,2203396,Standard,
38,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Tinted Moisturizer Illuminating Natural Skin Perfector Broad Spectrum SPF 30,False,False,False,False,False,False,False,True,False,False,True,$47.00,,2250280,Standard,
39,none,La Mer,/shop/foundation-makeup,La Mer - The Luminous Lifting Cushion Foundation SPF 20 + Refill,False,False,False,False,False,False,False,False,False,False,False,$120.00,,2132231,Standard,
40,none,MAKE UP FOR EVER,/shop/foundation-makeup,MAKE UP FOR EVER - Matte Velvet Skin Full Coverage Foundation,False,False,False,False,False,False,False,False,False,False,True,$38.00,,2106441,Standard,
41,none,Supergoop!,/shop/foundation-makeup,Supergoop! - CC Cream Daily Correct Broad Spectrum SPF 35 Sunscreen,False,False,False,False,False,False,False,False,False,False,False,$34.00,,1628767,Standard,
42,none,Bobbi Brown,/shop/foundation-makeup,Bobbi Brown - Prep & Perfect Skin Long Wear Customizable Set,False,False,False,False,True,False,False,False,True,False,False,$69.00,,2239358,Standard,$106.00
43,none,Dior,/shop/foundation-makeup,Dior - Dior Forever 24h* Wear High Perfection Skin-Caring Matte Foundation,False,False,False,False,False,False,False,False,False,False,False,$52.00,,2178630,Standard,
44,none,MAKE UP FOR EVER,/shop/foundation-makeup,MAKE UP FOR EVER - Ultra HD Invisible Cover Stick Foundation,False,False,False,False,False,False,False,False,False,False,True,$43.00,,1713155,Standard,
45,none,tarte,/shop/foundation-makeup,tarte - BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,False,False,False,False,False,False,False,False,False,False,False,$37.00,,1486752,Standard,
46,none,Dr. Jart+,/shop/foundation-makeup,Dr. Jart+ - Premium Beauty Balm SPF 45,False,False,False,False,False,False,False,False,False,False,False,$39.00,,1327915,Standard,
47,none,COVER FX,/shop/foundation-makeup,COVER FX - Power Play Foundation,False,False,False,False,False,False,False,False,False,False,True,$44.00,,2053874,Standard,
48,none,Hourglass,/shop/foundation-makeup,Hourglass - Vanish™ Seamless Finish Foundation Stick,False,False,False,False,False,False,False,False,False,False,False,$46.00,,1827252,Standard,
49,none,IT Cosmetics,/shop/foundation-makeup,IT Cosmetics - CC+ Cream Illumination with SPF 50+,False,False,False,False,False,False,False,False,False,False,False,$39.00,,1869015,Standard,
50,none,Smashbox,/shop/foundation-makeup,Smashbox - Studio Skin 15 Hour Hydrating Foundation,False,False,False,False,False,False,False,False,False,False,False,$36.00,,2105427,Standard,
51,none,bareMinerals,/shop/foundation-makeup,bareMinerals - BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20,False,False,False,False,False,False,False,False,False,False,False,$34.00,,2241719,Standard,
52,none,Lancôme,/shop/foundation-makeup,Lancôme - DUAL FINISH – Multi-tasking Longwear Powder Foundation,False,False,False,False,False,False,False,False,False,False,False,$40.00,,135558,Standard,
53,none,Yves Saint Laurent,/shop/foundation-makeup,Yves Saint Laurent - Touche Eclat Le Teint Radiance Awakening Foundation,False,False,False,False,False,False,False,False,False,False,False,$54.00,,2209393,Standard,
54,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Stay-Matte Sheer Pressed Powder,False,False,False,False,False,False,False,False,False,False,False,$28.50,,51573,Standard,
55,none,KOSAS,/shop/foundation-makeup,KOSAS - Tinted Face Oil Foundation,False,False,False,False,False,False,False,False,False,False,False,$42.00,,2250785,Standard,
56,none,Urban Decay,/shop/foundation-makeup,Urban Decay - All Nighter Liquid Foundation,False,False,False,False,False,False,False,False,False,False,False,$40.00,,1847474,Standard,
57,none,AMOREPACIFIC,/shop/foundation-makeup,AMOREPACIFIC - Color Control Cushion Compact Broad Spectrum SPF 50+,False,False,False,False,False,False,False,False,False,False,False,$15.00 - $60.00,,1496488,Standard,
58,none,Kat Von D,/shop/foundation-makeup,Kat Von D - Lock-It Powder Foundation,False,False,False,False,False,False,False,False,False,False,True,$36.00,,2179869,Standard,
59,none,NARS,/shop/foundation-makeup,NARS - All Day Luminous Weightless Foundation,False,False,False,False,False,False,False,False,False,False,False,$49.00,,1677962,Standard,
60,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Flawless Fusion Ultra-Longwear Foundation,False,False,False,False,False,False,False,False,False,False,False,$48.00,,2110070,Standard,
61,none,SEPHORA COLLECTION,/shop/foundation-makeup,SEPHORA COLLECTION - MicroSmooth Baked Foundation Face Powder,False,False,False,False,False,False,False,False,False,False,True,$22.00,,1372168,Standard,
62,none,IT Cosmetics,/shop/foundation-makeup,IT Cosmetics - CC+ Airbrush Perfecting Powder,False,False,False,False,False,False,False,True,False,False,False,$35.00,,2227619,Standard,
63,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Even Better Makeup Broad Spectrum SPF 15,False,False,False,False,False,False,False,False,False,False,False,$29.50,,2084010,Standard,
64,none,COVER FX,/shop/foundation-makeup,COVER FX - Pressed Mineral Foundation,False,False,False,False,False,False,False,False,False,False,True,$38.00,,1452408,Standard,
65,none,Dior,/shop/foundation-makeup,Dior - Dior Forever Skin Glow 24h* Wear Radiant Perfection Skin-Caring Foundation,False,False,False,False,False,False,False,False,False,False,False,$52.00,,2179034,Standard,
66,none,rms beauty,/shop/foundation-makeup,rms beauty - Un Cover-Up Concealer/Foundation,False,False,False,False,False,False,False,False,False,False,False,$36.00,,1833532,Standard,
67,none,Marc Jacobs Beauty,/shop/foundation-makeup,Marc Jacobs Beauty - Re(marc)able Full Cover Foundation Concentrate,False,False,False,False,False,False,False,False,False,False,False,$56.00,,1711100,Standard,
68,none,tarte,/shop/foundation-makeup,tarte - Amazonian Clay Full Coverage Airbrush Foundation,False,False,False,False,False,False,False,False,False,False,False,$36.00,,1534692,Standard,
69,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Flawless Lumière Radiance-Perfecting Foundation,False,False,False,False,False,False,False,False,False,False,False,$48.00,,2181550,Standard,
70,none,Bobbi Brown,/shop/foundation-makeup,Bobbi Brown - Skin Foundation SPF 15,False,False,False,False,False,False,False,False,False,False,False,$50.00,,1288448,Standard,
71,none,Too Faced,/shop/foundation-makeup,Too Faced - Born This Way Undetectable Medium-to-Full Coverage Powder Foundation,False,False,False,False,False,False,False,True,False,False,False,$37.00,,2260818,Standard,
72,none,COVER FX,/shop/foundation-makeup,COVER FX - Total Cover Cream Foundation,False,False,False,False,False,False,False,False,False,False,True,$42.00,,1452853,Standard,
73,none,tarte,/shop/foundation-makeup,tarte - Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,False,False,False,False,False,False,False,False,False,False,False,$36.00,,759779,Standard,
74,none,Smashbox,/shop/foundation-makeup,Smashbox - Camera Ready BB Cream SPF 35,False,False,False,False,False,False,False,False,False,False,False,$42.00,,1574896,Standard,
75,none,Hourglass,/shop/foundation-makeup,Hourglass - Immaculate® Liquid Powder Foundation Mattifying Oil Free,False,False,False,False,False,False,False,False,False,False,False,$56.00,,1944446,Standard,
76,none,ILIA,/shop/foundation-makeup,ILIA - True Skin Serum Foundation,False,False,False,False,False,False,False,False,False,False,False,$54.00,,2063402,Standard,
77,none,Smashbox,/shop/foundation-makeup,Smashbox - HALO Hydrating Perfecting Powder,False,False,False,False,False,False,False,False,False,False,False,$49.00,,1588136,Standard,
78,none,Bobbi Brown,/shop/foundation-makeup,Bobbi Brown - Skin Foundation Stick,False,False,False,False,False,False,False,False,False,False,False,$46.00 - $47.00,,1587435,Standard,
79,none,tarte,/shop/foundation-makeup,tarte - babassu foundcealer™ skincare foundation SPF 20,False,False,False,False,False,False,False,False,False,False,False,$39.00,,2197507,Standard,
80,none,bareMinerals,/shop/foundation-makeup,bareMinerals - Blemish Rescue Skin-Clearing Loose Powder Foundation – For Acne Prone Skin,False,False,False,False,False,False,False,False,False,False,True,$29.00,,2107662,Standard,
81,none,Charlotte Tilbury,/shop/foundation-makeup,Charlotte Tilbury - Light Wonder Foundation,False,False,False,False,False,False,False,False,False,False,False,$46.00,,2116135,Standard,
82,none,Anastasia Beverly Hills,/shop/foundation-makeup,Anastasia Beverly Hills - Stick Foundation,False,False,False,False,False,False,False,False,False,False,False,$25.00,,1852276,Standard,
83,none,La Mer,/shop/foundation-makeup,La Mer - The Soft Fluid Long Wear Foundation SPF 20,False,False,False,False,False,False,False,False,False,False,False,$120.00,,1999895,Standard,
84,none,Dior,/shop/foundation-makeup,Dior - Diorskin Forever Perfect Matte Powder Foundation,False,False,False,False,False,False,False,False,False,False,False,$54.00,,1964584,Standard,
85,none,Lancôme,/shop/foundation-makeup,Lancôme - Teint Idole Ultra Longwear Foundation Stick SPF 21,False,False,False,False,False,False,False,False,False,False,False,$43.00,,1919281,Standard,
86,none,BECCA,/shop/foundation-makeup,BECCA - Ultimate Coverage 24 Hour Foundation,False,False,False,False,False,False,False,True,False,False,False,$44.00,,2244002,Standard,
87,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Superpowder Double Face Makeup,False,False,False,False,False,False,False,False,False,False,False,$28.50,,51904,Standard,
