brand_name,category,imageAltText,isLimitedEdition,isNew,isOnlineOnly,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice,review_count,target
Supergoop!,foundation-makeup,Supergoop! - CC Cream Daily Correct Broad Spectrum SPF 35 Sunscreen,False,False,False,False,34.0,0.0,1628767,Standard,,123,0
Bobbi Brown,foundation-makeup,Bobbi Brown - Prep & Perfect Skin Long Wear Customizable Set,True,False,True,False,69.0,0.0,2239358,Standard,$106.00,3,0
Dior,foundation-makeup,Dior - Dior Forever 24h* Wear High Perfection Skin-Caring Matte Foundation,False,False,False,False,52.0,0.0,2178630,Standard,,180,0
MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Ultra HD Invisible Cover Stick Foundation,False,False,False,True,43.0,0.0,1713155,Standard,,508,0
tarte,foundation-makeup,tarte - BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,False,False,False,False,37.0,0.0,1486752,Standard,,669,0
Dr. Jart+,foundation-makeup,Dr. Jart+ - Premium Beauty Balm SPF 45,False,False,False,False,39.0,0.0,1327915,Standard,,549,0
COVER FX,foundation-makeup,COVER FX - Power Play Foundation,False,False,False,True,44.0,0.0,2053874,Standard,,286,0
Hourglass,foundation-makeup,Hourglass - Vanish™ Seamless Finish Foundation Stick,False,False,False,False,46.0,0.0,1827252,Standard,,1203,0
IT Cosmetics,foundation-makeup,IT Cosmetics - CC+ Cream Illumination with SPF 50+,False,False,False,False,39.0,0.0,1869015,Standard,,110,0
Smashbox,foundation-makeup,Smashbox - Studio Skin 15 Hour Hydrating Foundation,False,False,False,False,36.0,0.0,2105427,Standard,,563,0
bareMinerals,foundation-makeup,bareMinerals - BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20,False,False,False,False,34.0,0.0,2241719,Standard,,433,0
Lancôme,foundation-makeup,Lancôme - DUAL FINISH – Multi-tasking Longwear Powder Foundation,False,False,False,False,40.0,0.0,135558,Standard,,220,0
Yves Saint Laurent,foundation-makeup,Yves Saint Laurent - Touche Eclat Le Teint Radiance Awakening Foundation,False,False,False,False,54.0,0.0,2209393,Standard,,120,0
CLINIQUE,foundation-makeup,CLINIQUE - Stay-Matte Sheer Pressed Powder,False,False,False,False,28.5,0.0,51573,Standard,,266,0
KOSAS,foundation-makeup,KOSAS - Tinted Face Oil Foundation,False,False,False,False,42.0,0.0,2250785,Standard,,75,0
Urban Decay,foundation-makeup,Urban Decay - All Nighter Liquid Foundation,False,False,False,False,40.0,0.0,1847474,Standard,,697,0
AMOREPACIFIC,foundation-makeup,AMOREPACIFIC - Color Control Cushion Compact Broad Spectrum SPF 50+,False,False,False,False,60.0,0.0,1496488,Standard,,210,0
Kat Von D,foundation-makeup,Kat Von D - Lock-It Powder Foundation,False,False,False,True,36.0,0.0,2179869,Standard,,206,0
NARS,foundation-makeup,NARS - All Day Luminous Weightless Foundation,False,False,False,False,49.0,0.0,1677962,Standard,,845,0
Laura Mercier,foundation-makeup,Laura Mercier - Flawless Fusion Ultra-Longwear Foundation,False,False,False,False,48.0,0.0,2110070,Standard,,389,0
SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - MicroSmooth Baked Foundation Face Powder,False,False,False,True,22.0,0.0,1372168,Standard,,253,0
IT Cosmetics,foundation-makeup,IT Cosmetics - CC+ Airbrush Perfecting Powder,False,True,False,False,35.0,0.0,2227619,Standard,,46,0
CLINIQUE,foundation-makeup,CLINIQUE - Even Better Makeup Broad Spectrum SPF 15,False,False,False,False,29.5,0.0,2084010,Standard,,481,0
COVER FX,foundation-makeup,COVER FX - Pressed Mineral Foundation,False,False,False,True,38.0,0.0,1452408,Standard,,186,0
Dior,foundation-makeup,Dior - Dior Forever Skin Glow 24h* Wear Radiant Perfection Skin-Caring Foundation,False,False,False,False,52.0,0.0,2179034,Standard,,163,0
rms beauty,foundation-makeup,rms beauty - Un Cover-Up Concealer/Foundation,False,False,False,False,36.0,0.0,1833532,Standard,,87,0
Marc Jacobs Beauty,foundation-makeup,Marc Jacobs Beauty - Re(marc)able Full Cover Foundation Concentrate,False,False,False,False,56.0,0.0,1711100,Standard,,532,0
tarte,foundation-makeup,tarte - Amazonian Clay Full Coverage Airbrush Foundation,False,False,False,False,36.0,0.0,1534692,Standard,,309,0
Laura Mercier,foundation-makeup,Laura Mercier - Flawless Lumière Radiance-Perfecting Foundation,False,False,False,False,48.0,0.0,2181550,Standard,,213,0
Bobbi Brown,foundation-makeup,Bobbi Brown - Skin Foundation SPF 15,False,False,False,False,50.0,0.0,1288448,Standard,,208,0
Too Faced,foundation-makeup,Too Faced - Born This Way Undetectable Medium-to-Full Coverage Powder Foundation,False,True,False,False,37.0,0.0,2260818,Standard,,9,0
COVER FX,foundation-makeup,COVER FX - Total Cover Cream Foundation,False,False,False,True,42.0,0.0,1452853,Standard,,219,0
tarte,foundation-makeup,tarte - Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,False,False,False,False,36.0,0.0,759779,Standard,,492,0
Smashbox,foundation-makeup,Smashbox - Camera Ready BB Cream SPF 35,False,False,False,False,42.0,0.0,1574896,Standard,,655,0
Hourglass,foundation-makeup,Hourglass - Immaculate® Liquid Powder Foundation Mattifying Oil Free,False,False,False,False,56.0,0.0,1944446,Standard,,699,0
ILIA,foundation-makeup,ILIA - True Skin Serum Foundation,False,False,False,False,54.0,0.0,2063402,Standard,,101,0
Smashbox,foundation-makeup,Smashbox - HALO Hydrating Perfecting Powder,False,False,False,False,49.0,0.0,1588136,Standard,,523,0
Bobbi Brown,foundation-makeup,Bobbi Brown - Skin Foundation Stick,False,False,False,False,47.0,0.0,1587435,Standard,,232,0
tarte,foundation-makeup,tarte - babassu foundcealer™ skincare foundation SPF 20,False,False,False,False,39.0,0.0,2197507,Standard,,100,0
bareMinerals,foundation-makeup,bareMinerals - Blemish Rescue Skin-Clearing Loose Powder Foundation – For Acne Prone Skin,False,False,False,True,29.0,0.0,2107662,Standard,,273,0
Charlotte Tilbury,foundation-makeup,Charlotte Tilbury - Light Wonder Foundation,False,False,False,False,46.0,0.0,2116135,Standard,,29,0
Anastasia Beverly Hills,foundation-makeup,Anastasia Beverly Hills - Stick Foundation,False,False,False,False,25.0,0.0,1852276,Standard,,400,0
La Mer,foundation-makeup,La Mer - The Soft Fluid Long Wear Foundation SPF 20,False,False,False,False,120.0,0.0,1999895,Standard,,53,0
Dior,foundation-makeup,Dior - Diorskin Forever Perfect Matte Powder Foundation,False,False,False,False,54.0,0.0,1964584,Standard,,84,0
Lancôme,foundation-makeup,Lancôme - Teint Idole Ultra Longwear Foundation Stick SPF 21,False,False,False,False,43.0,0.0,1919281,Standard,,353,0
BECCA,foundation-makeup,BECCA - Ultimate Coverage 24 Hour Foundation,False,True,False,False,44.0,0.0,2244002,Standard,,405,0
