,brand_name,category,imageAltText,isLimitedEdition,isNew,isOnlineOnly,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice,target_x,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,review_count_y,total_ratings,compound_score,compound
3959,Kaja,lip-gloss,Kaja - Heart Melter Lip Gloss Stick,False,False,False,True,17.0,0.0,2185866,Standard,,0,9.0,4.0,15.0,42.0,80.0,4.2,150.0,150.0,,0.6896079999999999
3963,BECCA,lip-gloss,BECCA - Liptuitive Glow Lip Gloss,True,False,False,True,25.0,0.0,2037547,Standard,,0,,,,,,,,,,
3964,Laura Mercier,lip-gloss,Laura Mercier - Stick Gloss,False,False,False,False,26.0,0.0,902205,Standard,,0,12.0,20.0,47.0,108.0,377.0,4.5,564.0,564.0,0.007262237762237763,0.44608400000000004
3965,MAKE UP FOR EVER,lip-gloss,MAKE UP FOR EVER - Artist Plexi-Gloss,False,False,False,True,20.0,10.0,1688621,Standard,,1,73.0,62.0,47.0,82.0,157.0,3.4,421.0,421.0,0.017847368421052633,0.5402080000000001
3966,bareMinerals,lip-gloss,bareMinerals - GEN NUDE™ Buttercream Lipgloss,False,False,False,False,19.0,0.0,1845692,Standard,,0,7.0,14.0,26.0,51.0,133.0,4.3,231.0,231.0,0.01901739130434783,0.7594600000000002
3967,Bobbi Brown,lip-gloss,Bobbi Brown - Lip Gloss,False,False,False,False,29.0,0.0,1352533,Standard,,0,17.0,22.0,29.0,47.0,121.0,4.0,236.0,236.0,0.0115288,0.616696
3968,Charlotte Tilbury,lip-gloss,Charlotte Tilbury - Collagen Lip Bath Gloss,False,False,False,False,35.0,0.0,2252237,Standard,,0,3.0,10.0,7.0,8.0,15.0,3.5,43.0,43.0,,0.6088159999999999
3973,GLAMGLOW,lip-gloss,GLAMGLOW - PLUMPRAGEOUS™ Matte Lip Treatment,False,False,False,True,24.0,17.0,1775196,Standard,,1,,,,,,,,,,
3974,NUDESTIX,lip-gloss,NUDESTIX - Nude Gloss Balm Founder Set,True,False,False,True,25.0,0.0,2175016,Standard,$78.00,0,,,,,,,,,,
3975,Bite Beauty,lip-gloss,Bite Beauty - French Press Lip Gloss,True,False,False,True,22.0,0.0,2094357,Standard,,0,10.0,27.0,41.0,91.0,254.0,4.3,423.0,423.0,,0.7668
3976,SEPHORA COLLECTION,lip-gloss,SEPHORA COLLECTION - Ultra Shine Lip Gel,True,False,False,True,12.0,7.0,1675164,Standard,,1,5.0,3.0,3.0,16.0,18.0,3.9,45.0,45.0,,0.5217600000000001
3977,lilah b.,lip-gloss,lilah b. - Lovingly Lip™ Tinted Lip Oil,False,False,True,False,30.0,0.0,2204063,Standard,,0,1.0,1.0,2.0,1.0,21.0,4.5,26.0,26.0,,0.8028520000000003
3978,Smashbox,lip-gloss,Smashbox - Gloss Angeles Lip Gloss,False,False,False,False,19.0,0.0,2172096,Standard,,0,4.0,2.0,23.0,115.0,251.0,4.5,395.0,395.0,,0.633176
3979,CLINIQUE,lip-gloss,CLINIQUE - Superbalm Moisturizing Gloss,False,False,False,True,18.5,0.0,1151026,Standard,,0,34.0,43.0,92.0,338.0,1193.0,4.5,1700.0,1700.0,0.014209232715008431,0.763576
3980,CLINIQUE,lip-gloss,CLINIQUE - Pop Splash™ Lip Gloss,False,False,False,False,19.5,0.0,2023471,Standard,,0,2.0,5.0,6.0,14.0,64.0,4.5,91.0,91.0,,0.6004120000000001
3981,SEPHORA COLLECTION,lip-gloss,SEPHORA COLLECTION - Outrageous Effect Volume Lip Gloss,False,False,False,True,12.0,0.0,1873355,Standard,,0,29.0,30.0,40.0,95.0,301.0,4.2,495.0,495.0,0.007620895522388061,0.46776
3982,MILK MAKEUP,lip-gloss,MILK MAKEUP - Holographic Lip Gloss,False,False,False,False,24.0,12.0,1935576,Standard,,1,8.0,4.0,4.0,20.0,36.0,4.0,72.0,72.0,0.0,0.75708
3983,Jouer Cosmetics,lip-gloss,Jouer Cosmetics - Long-Wear Lip Topper™,False,False,False,False,16.0,0.0,2122703,Standard,,0,11.0,9.0,5.0,19.0,40.0,3.8,84.0,84.0,,0.722056
3987,Too Faced,lip-gloss,Too Faced - Rich & Dazzling High-Shine Sparkling Lip Gloss,True,False,False,False,21.0,0.0,2170033,Standard,,0,4.0,9.0,10.0,19.0,50.0,4.1,92.0,92.0,,0.6475319999999999
3988,Bobbi Brown,lip-gloss,Bobbi Brown - High Shimmer Lip Gloss,False,False,False,False,29.0,0.0,1482538,Standard,,0,13.0,4.0,11.0,40.0,91.0,4.2,159.0,159.0,0.0035804878048780494,0.7259560000000002
3989,INC.redible,lip-gloss,INC.redible - Baddie Rollin' It Back Rainbow Rollerball Lip Gloss,False,False,False,True,10.0,0.0,2230498,Standard,,0,1.0,3.0,1.0,4.0,30.0,4.5,39.0,39.0,,0.7979560000000001
3990,FENTY BEAUTY by Rihanna,lip-gloss,FENTY BEAUTY by Rihanna - Summer Daze & Summer Nights Iridescent Lip Luminizer Trios,True,False,False,True,32.0,0.0,2067841,Standard,,0,0.0,3.0,5.0,14.0,135.0,4.8,157.0,157.0,,0.6165120000000001
3992,DOMINIQUE COSMETICS,lip-gloss,DOMINIQUE COSMETICS - Lemonade Lip Gloss,False,False,False,True,17.0,0.0,2130169,Standard,,0,1.0,6.0,7.0,8.0,42.0,4.3,64.0,64.0,,0.7000879999999999
3993,tarte,lip-gloss,tarte - Sea complexion vault,True,False,True,False,140.0,0.0,2179281,Standard,$184.00,0,,,,,,,,,,
3999,Too Faced,lip-gloss,Too Faced - Sweet Peach Creamy Peach Oil Lip Gloss,False,False,False,False,20.0,0.0,1894393,Standard,,0,37.0,43.0,57.0,163.0,361.0,4.2,661.0,661.0,0.020858053691275167,0.8155208333333333
4000,GLAMGLOW,lip-gloss,GLAMGLOW - PLUMPRAGEOUS™ Gloss Lip Treatment,False,False,False,True,24.0,17.0,1771450,Standard,,1,,,,,,,,,,
4001,Smashbox,lip-gloss,Smashbox - Gloss Angeles Extra Shine Lip Gloss,False,False,False,False,19.0,0.0,2172203,Standard,,0,,,,,,,,,,
4002,INC.redible,lip-gloss,INC.redible - Roller Baby Lip Gloss,False,False,False,False,10.0,0.0,2200624,Standard,,0,6.0,5.0,9.0,11.0,31.0,3.9,62.0,62.0,,0.5667999999999999
